Sqrts,delta
0.27607797333333334,0.0
0.32227293473299856, 0.2277836942373881
0.34314468279324506, 0.5460892202106322
0.36524418073938836, 0.9598864039758439
0.38734367868553166, 1.46917524553308
0.40944317663167495, 2.0421251922849706
0.43154267457781825, 2.710566796828772
0.45118667275216784, 3.474500059164626
0.47328617069831114, 4.333924979292391
0.4929301688726607, 5.384333215004176
0.515029666818804, 6.498402555910559
0.5346736649931537, 7.803455212400877
0.5518621633957096, 9.267660631877874
0.5715061615700592, 10.954679919536176
0.5874669100867183, 12.721275588687746
0.6034276586033773, 14.774346231215247
0.6181606572341395, 16.906993255236074
0.6316659059790048, 19.28632706188617
0.6439434048379733, 21.673618506685614
0.6537654039251481, 24.021121760738367
0.663587403012323, 26.686930540764422
0.6734094020994978, 29.432315702283745
0.6807759014148789, 32.018548100816474
0.6881424007302599, 34.6843568808425
0.6955089000456411, 37.6684711868418
0.7016476494751254, 40.54648365084998
0.7077863989046096, 43.477547035853746
0.712697398448197, 46.14335581587977
0.7176083979917844, 48.928529168145786
0.7225193975353719, 51.7932789019051
0.7262026471930623, 54.551926793673346
0.7311136467366497, 57.310574685441566
0.7347968963943403, 60.18858714944977
0.7384801460520309, 62.933972310969125
0.7433911455956184, 65.90482388671953
0.745846645367412, 68.61042085749222
0.7507576449109994, 71.47517059125153
0.753213144682793, 74.18076756202422
0.7581241442263804, 77.15161913777462
0.7605796439981742, 79.80416518755177
0.7654906435417617, 82.77501676330218
0.7679461433135553, 85.5336646550704
0.7716293929712459, 88.39841438882972
0.7753126426289363, 91.58146964856229
0.7802236421725237, 94.1809647773439
0.7826791419443175, 96.88656174811659
0.787590141487905, 99.80436240287145
0.7912733911455954, 102.60279848538634
0.794956640803286, 105.26860726541237
0.7998676403468734, 108.18640792016724
0.8047786398904608, 110.998106732931
0.8084618895481512, 113.66391551295703
0.8146006389776357, 116.56845343746302
0.8195116385212229, 119.27405040823571
0.8256503879507073, 122.05922376050171
0.8317891373801916, 124.73829527077663
0.8391556366955726, 127.49694316254485
0.8465221360109536, 130.149489212322
0.8551163852122317, 132.80203526209914
0.8649383842994065, 135.5474204236185
0.8747603833865814, 138.01428824991126
0.885810132359653, 140.50502899065197
0.8980876312186215, 142.79682877765944
0.9115928799634867, 145.05679801206958
0.9275536284801458, 147.0939533782984
0.942286627110908, 149.09927819192995
0.9594751255134639, 150.94545024257482
0.9778913738019166, 152.6563424446811
0.9963076220903695, 154.0966749497101
1.015951620264719, 155.59271092178437
1.0355956184390687, 157.02508578866406
1.0540118667275213, 158.3062655307064
1.0748836147877678, 159.60336054904744
1.0945276129621175, 160.87658265294047
1.114171611136467, 162.0224825464442
1.1338156093108167, 163.16838243994792
1.15591510725696, 164.18696012306233
1.1755591054313097, 165.14187670098212
1.197658603377453, 166.00130162110992
1.2173026015518025, 166.76523488344571
1.2394020994979458, 167.52916814578154
1.261501597444089, 168.13394864513074
1.2848288452761294, 168.74403423657947
1.2995618439068914, 169.0888652230505
1.3118393427658601, 169.24801798603715
1.3327110908261064, 169.62998461720505
1.3548105887722497, 169.98012069577564
1.3756823368324962, 170.4018755176902
1.3977818347786395, 170.7599692344101
1.4198813327247828, 171.11806295113
1.441980830670926, 171.4363684771033
1.4640803286170694, 171.75467400307656
1.4849520766773159, 172.11276771979647
1.5070515746234592, 172.2719204827831
1.5303788224554993, 172.59022600875636
1.5512505705157458, 172.9085315347296
1.573350068461889, 173.13134540291088
1.5954495664080324, 173.3859898236895
1.6175490643541757, 173.54514258667612
1.639648562300319, 173.83161756005205
1.6617480602464623, 174.02260087563602
1.6838475581926056, 174.18175363862264
1.7059470561387489, 174.40456750680391
1.7280465540848922, 174.6273813749852
1.7501460520310355, 174.81836469056915
1.7722455499771788, 174.97751745355578
1.794345047923322, 175.1366702165424
1.8164445458694654, 175.29582297952902
1.8385440438156087, 175.45497574251567
1.860643541761752, 175.6141285055023
1.8827430397078952, 175.70962016329426
1.9048425376540385, 175.86877292628088
1.9269420356001823, 175.96426458407288
1.9490415335463256, 176.0915867944622
1.9711410314924689, 176.21890900485147
1.9932405294386122, 176.31440066264346
2.0153400273847555, 176.37806176783812
2.037439525330899, 176.53721453082474
2.059539023277042, 176.6327061886167
2.0816385212231854, 176.69636729381136
2.1037380191693287, 176.82368950420067
2.124609767229575, 176.88735060939533
2.1467092651757183, 176.927138800142
2.1700365130077586, 177.0783339249793
2.192136010953902, 177.14199503017392
2.214235508900045, 177.17382558277126
2.2363350068461885, 177.30114779316057
2.2584345047923318, 177.42847000354988
2.280534002738475, 177.4921311087445
2.3026335006846184, 177.52396166134184
2.3247329986307617, 177.55579221393916
2.346832496576905, 177.65128387173115
2.3689319945230483, 177.8422671873151
2.3910314924691916, 177.8422671873151
2.413130990415335, 177.8422671873151
2.435230488361478, 177.87409773991243
2.4573299863076214, 178.12874216069105
2.4794294842537647, 178.12874216069105
2.4990734824281144, 178.1075217922928
