Sqrts,delta
0.27607797333333334,0.0
0.3370059333637607, 0.09515639174853163
0.3541944317663167, 0.7450301739439169
0.37629392971246, 1.1429120814104863
0.38857142857142846, 1.4814814814814667
0.3999999999999999, 1.4814814814814667
0.41428571428571426, 2.2222222222222
0.4401369237790962, 3.0129570465033737
0.4514285714285713, 3.333333333333343
0.46571428571428564, 4.074074074074076
0.4843359196713828, 4.8432138208495985
0.5039799178457324, 5.877706780262685
0.5236239160200821, 7.111140693409084
0.5342857142857143, 7.7777777777778
0.5457142857142857, 8.888888888888886
0.5599999999999998, 9.629629629629619
0.5776449109995434, 11.607206247781335
0.5828571428571427, 12.592592592592581
0.5914285714285713, 13.333333333333343
0.6028571428571428, 14.074074074074076
0.6120219078046553, 15.904330848420301
0.6242994066636238, 18.09268133948646
0.6378046554084891, 20.440184593539243
0.6428571428571428, 22.2222222222222
0.6542857142857141, 23.703703703703695
0.6599999999999999, 25.555555555555543
0.6672706526700136, 27.814262611919673
0.6714285714285713, 29.629629629629648
0.677142857142857, 31.111111111111114
0.6856869009584663, 33.530499349189455
0.6905979005020537, 35.997367175482196
0.6979643998174347, 38.74275233700155
0.7, 40.37037037037038
0.7, 42.59259259259258
0.7102418986764032, 44.71098094900012
0.7151528982199906, 47.53594249201279
0.720063897763578, 50.36090403502544
0.7228571428571429, 51.85185185185185
0.7257142857142855, 55.18518518518516
0.7335691465084435, 58.318542184356886
0.74, 60.74074074074073
0.7421633957097213, 64.48571175008874
0.745846645367412, 67.32658856940009
0.7495298950251026, 70.13563483611406
0.7514285714285713, 74.44444444444443
0.7599999999999998, 80.37037037037035
0.7605796439981742, 78.05348479469885
0.7691738931994521, 84.49917169565731
0.7716293929712459, 87.00582771269671
0.7753126426289363, 89.92628091350136
0.7771428571428571, 92.96296296296295
0.7828571428571427, 95.55555555555554
0.7863623916020079, 97.78842740504082
0.7914285714285714, 100.37037037037035
0.7961843906891828, 104.15453792450597
0.7998676403468734, 106.82830434268132
0.803550890004564, 109.48615548455804
0.8085714285714285, 113.33333333333333
0.8182838886353261, 117.36421725239616
0.8199999999999998, 119.99999999999999
0.8317891373801916, 123.60300556147202
0.8391556366955726, 126.34043308484202
0.8465221360109536, 129.00146728197845
0.8514285714285714, 131.85185185185185
0.8599999999999999, 134.07407407407408
0.8698493838429939, 136.26360785705833
0.8714285714285712, 137.77777777777777
0.8799999999999999, 139.62962962962962
0.8944043815609308, 141.90026821283476
0.9066818804198993, 143.86315228966987
0.918959379278868, 146.09129097148264
0.9285714285714284, 147.77777777777777
0.9399999999999997, 150
0.9631583751711545, 151.84731589949905
0.9714285714285711, 152.96296296296293
0.9885714285714284, 153.33333333333331
0.9914285714285713, 154.8148148148148
1.0098128708352347, 155.85266043466254
1.024545869465997, 156.89599521424157
1.0392788680967593, 158.02774819547983
1.050328617069831, 158.79698654991518
1.0628571428571427, 159.62962962962962
1.077142857142857, 160.37037037037035
1.1018941122774986, 161.3964816786968
1.1199999999999997, 162.59259259259258
1.1314285714285712, 162.59259259259258
1.1497763578274758, 163.4124166765274
1.164509356458238, 164.02250226797617
1.179242355089, 164.54416965776568
1.1939753537197624, 165.13657160888258
1.2085714285714284, 165.92592592592592
1.2228571428571426, 166.66666666666666
1.2479963486992238, 167.17903206721098
1.2628571428571427, 167.77777777777777
1.2857142857142856, 168.14814814814815
1.3020173436786853, 168.77055969707726
1.3174869922409853, 169.40717074902378
1.3312377909630302, 170.20293456395692
1.344988589685075, 170.34086695854532
1.3599999999999997, 170.37037037037035
1.3714285714285712, 170.74074074074073
1.3828571428571426, 171.48148148148147
1.3953263350068459, 171.9801404173076
1.4039205842081237, 172.11276771979647
1.414285714285714, 172.2222222222222
1.4228571428571426, 172.59259259259258
1.431428571428571, 172.59259259259258
1.451802829758101, 173.6512444286672
1.4653080785029664, 173.92710921784402
1.4714285714285713, 174.07407407407405
1.4828571428571427, 174.07407407407405
1.5028571428571427, 174.8148148148148
1.5205568233683247, 174.97751745355578
1.5352898219990867, 175.0570938350491
1.550022820629849, 175.29582297952902
1.5635280693747144, 175.29582297952902
1.5857142857142854, 175.55555555555554
1.597142857142857, 175.55555555555554
1.6175490643541757, 175.6141285055023
1.634285714285714, 175.55555555555554
1.6485714285714281, 175.92592592592592
1.657142857142857, 175.55555555555554
1.6752533089913277, 176.2507395574488
1.6899863076220898, 176.27726501794658
1.7047193062528523, 176.56904508342205
1.7182245549977173, 176.7281978464087
1.7314285714285709, 176.66666666666666
1.7428571428571424, 177.037037037037
1.7599999999999998, 177.4074074074074
1.7722455499771788, 177.8422671873151
1.7885714285714283, 178.14814814814812
1.8057142857142852, 178.5185185185185
1.814285714285714, 178.88888888888886
1.8274942948425372, 179.19506567270145
1.8422272934732993, 179.4337948171814
1.8569602921040618, 179.4337948171814
1.8704655408489268, 179.4656253697787
1.887654039251483, 179.75210034315464
1.8999999999999995, 179.62962962962962
1.911428571428571, 179.62962962962962
1.9285714285714284, 179.62962962962962
1.945358283888635, 179.75210034315464
1.960091282519397, 179.75210034315464
1.974824281150159, 179.75210034315464
1.9883295298950245, 179.75210034315464
2.0057142857142853, 179.62962962962962
2.014285714285714, 179.62962962962962
2.0285714285714285, 179.62962962962962
2.043578274760383, 179.8051512641502
2.054285714285714, 179.62962962962962
2.0657142857142854, 179.62962962962962
2.077142857142857, 179.62962962962962
2.0857142857142854, 179.62962962962962
2.100054769511638, 179.99082948763458
2.1147877681424, 180.0704058691279
2.1295207667731626, 180.0704058691279
2.1430260155180276, 180.0704058691279
2.154285714285714, 180
